Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander
Connecticut,0.688,0.095,0.151,0.042,<.01,N/A
Delaware,0.639,0.21,0.089,0.039,<.01,N/A
Florida,0.557,0.153,0.243,0.026,<.01,<.01
Georgia,0.545,0.306,0.092,0.037,<.01,<.01
Maine,0.938,0.012,0.012,0.01,0.01,N/A
Maryland,0.525,0.291,0.094,0.062,<.01,N/A
Massachusetts,0.74,0.065,0.108,0.06,<.01,N/A
New Hampshire,0.913,0.011,0.032,0.025,N/A,N/A
New Jersey,0.568,0.125,0.194,0.092,<.01,N/A
New York,0.564,0.143,0.187,0.081,<.01,<.01
North Carolina,0.641,0.213,0.09,0.024,0.01,<.01
Pennsylvania,0.781,0.104,0.065,0.031,<.01,N/A
Rhode Island,0.741,0.054,0.142,0.032,<.01,N/A
South Carolina,0.641,0.271,0.053,0.014,<.01,N/A
Vermont,0.934,0.01,0.015,0.02,0.01,N/A
Virginia,0.631,0.187,0.088,0.062,<.01,<.01
West Virginia,0.929,0.035,0.012,0.01,<.01,N/A
,,,,,,
,,,,,,
 ,,,,,,
