Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander
Connecticut,0.663,0.099,0.166,0.047,<.01,N/A
Delaware,0.621,0.213,0.095,0.042,<.01,N/A
Florida,0.533,0.151,0.263,0.027,<.01,<.01
Georgia,0.525,0.309,0.097,0.041,<.01,<.01
Maine,0.934,0.013,0.015,0.013,<.01,N/A
Maryland,0.503,0.293,0.105,0.064,<.01,N/A
Massachusetts,0.708,0.07,0.124,0.067,<.01,N/A
New Hampshire,0.902,0.011,0.038,0.028,N/A,N/A
New Jersey,0.547,0.126,0.208,0.097,<.01,N/A
New York,0.553,0.141,0.193,0.085,<.01,N/A
North Carolina,0.629,0.209,0.096,0.029,0.01,<.01
Pennsylvania,0.763,0.103,0.076,0.035,<.01,N/A
Rhode Island,0.715,0.056,0.16,0.034,N/A,N/A
South Carolina,0.638,0.263,0.058,0.016,<.01,N/A
Vermont,0.929,0.011,0.018,0.019,<.01,N/A
Virginia,0.615,0.186,0.095,0.066,<.01,<.01
West Virginia,0.925,0.036,0.013,0.008,<.01,N/A
