Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander
Connecticut,0.676,0.098,0.158,0.045,<.01,N/A
Delaware,0.63,0.207,0.092,0.04,<.01,N/A
Florida,0.547,0.151,0.251,0.027,<.01,<.01
Georgia,0.534,0.308,0.094,0.038,<.01,<.01
Maine,0.936,0.015,0.015,0.012,0.01,N/A
Maryland,0.514,0.293,0.098,0.063,<.01,N/A
Massachusetts,0.726,0.067,0.114,0.063,<.01,N/A
New Hampshire,0.911,0.011,0.035,0.025,N/A,N/A
New Jersey,0.557,0.125,0.2,0.095,<.01,N/A
New York,0.556,0.142,0.191,0.085,<.01,<.01
North Carolina,0.636,0.211,0.092,0.027,0.011,<.01
Pennsylvania,0.773,0.103,0.07,0.033,<.01,<.01
Rhode Island,0.728,0.056,0.151,0.033,<.01,N/A
South Carolina,0.64,0.267,0.055,0.015,<.01,N/A
Vermont,0.935,0.01,0.019,0.011,0.01,N/A
Virginia,0.623,0.185,0.091,0.064,<.01,<.01
West Virginia,0.924,0.034,0.014,0.01,<.01,N/A
,,,,,,
,,,,,,
 ,,,,,,
