,ori,data_year,offense,state,cleared,actual,data_range,latitude,longitude,name
0,NY0010000,2017,aggravated-assault,NY,9,10,,43.299428000000006,-74.217933,New York
1,NY0010100,2017,aggravated-assault,NY,225,567,,43.299428000000006,-74.217933,New York
2,NY0010200,2017,aggravated-assault,NY,21,23,,43.299428000000006,-74.217933,New York
3,NY0010300,2017,aggravated-assault,NY,25,26,,43.299428000000006,-74.217933,New York
4,NY0012000,2017,aggravated-assault,NY,2,4,,43.299428000000006,-74.217933,New York
5,NY0012100,2017,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
6,NY0012500,2017,aggravated-assault,NY,4,4,,43.299428000000006,-74.217933,New York
7,NY0015100,2017,aggravated-assault,NY,7,11,,43.299428000000006,-74.217933,New York
8,NY0015200,2017,aggravated-assault,NY,8,12,,43.299428000000006,-74.217933,New York
9,NY0015300,2017,aggravated-assault,NY,39,56,,43.299428000000006,-74.217933,New York
10,NY0015800,2017,aggravated-assault,NY,5,5,,43.299428000000006,-74.217933,New York
11,NY0022000,2017,aggravated-assault,NY,0,1,,43.299428000000006,-74.217933,New York
12,NY0022300,2017,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
13,NY0022400,2017,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
14,NY0022600,2017,aggravated-assault,NY,6,6,,43.299428000000006,-74.217933,New York
15,NY0022800,2017,aggravated-assault,NY,7,10,,43.299428000000006,-74.217933,New York
16,NY0025000,2017,aggravated-assault,NY,2,2,,43.299428000000006,-74.217933,New York
17,NY0027000,2017,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
18,NY0030000,2017,aggravated-assault,NY,30,36,,43.299428000000006,-74.217933,New York
19,NY0030100,2017,aggravated-assault,NY,111,226,,43.299428000000006,-74.217933,New York
20,NY0010000,2017,burglary,NY,2,15,,43.299428000000006,-74.217933,New York
21,NY0010100,2017,burglary,NY,64,432,,43.299428000000006,-74.217933,New York
22,NY0010200,2017,burglary,NY,13,37,,43.299428000000006,-74.217933,New York
23,NY0010300,2017,burglary,NY,14,49,,43.299428000000006,-74.217933,New York
24,NY0012000,2017,burglary,NY,1,6,,43.299428000000006,-74.217933,New York
25,NY0012100,2017,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
26,NY0012500,2017,burglary,NY,2,4,,43.299428000000006,-74.217933,New York
27,NY0015100,2017,burglary,NY,8,43,,43.299428000000006,-74.217933,New York
28,NY0015200,2017,burglary,NY,12,34,,43.299428000000006,-74.217933,New York
29,NY0015300,2017,burglary,NY,43,136,,43.299428000000006,-74.217933,New York
30,NY0015800,2017,burglary,NY,15,15,,43.299428000000006,-74.217933,New York
31,NY0022000,2017,burglary,NY,1,8,,43.299428000000006,-74.217933,New York
32,NY0022300,2017,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
33,NY0022400,2017,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
34,NY0022600,2017,burglary,NY,7,7,,43.299428000000006,-74.217933,New York
35,NY0022800,2017,burglary,NY,4,9,,43.299428000000006,-74.217933,New York
36,NY0025000,2017,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
37,NY0027000,2017,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
38,NY0030000,2017,burglary,NY,8,80,,43.299428000000006,-74.217933,New York
39,NY0030100,2017,burglary,NY,47,370,,43.299428000000006,-74.217933,New York
40,NY0010000,2017,larceny,NY,37,117,,43.299428000000006,-74.217933,New York
