,ori,data_year,offense,state,cleared,actual,data_range,latitude,longitude,name
0,NY0010000,2015,aggravated-assault,NY,12,12,,43.299428000000006,-74.217933,New York
1,NY0010100,2015,aggravated-assault,NY,254,505,,43.299428000000006,-74.217933,New York
2,NY0010200,2015,aggravated-assault,NY,18,20,,43.299428000000006,-74.217933,New York
3,NY0010300,2015,aggravated-assault,NY,15,17,,43.299428000000006,-74.217933,New York
4,NY0012000,2015,aggravated-assault,NY,2,2,,43.299428000000006,-74.217933,New York
5,NY0012100,2015,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
6,NY0012500,2015,aggravated-assault,NY,3,3,,43.299428000000006,-74.217933,New York
7,NY0015100,2015,aggravated-assault,NY,6,11,,43.299428000000006,-74.217933,New York
8,NY0015200,2015,aggravated-assault,NY,1,2,,43.299428000000006,-74.217933,New York
9,NY0015300,2015,aggravated-assault,NY,31,42,,43.299428000000006,-74.217933,New York
10,NY0015800,2015,aggravated-assault,NY,5,5,,43.299428000000006,-74.217933,New York
11,NY0020000,2015,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
12,NY0022000,2015,aggravated-assault,NY,2,2,,43.299428000000006,-74.217933,New York
13,NY0022200,2015,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
14,NY0022300,2015,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
15,NY0022600,2015,aggravated-assault,NY,3,3,,43.299428000000006,-74.217933,New York
16,NY0022800,2015,aggravated-assault,NY,3,8,,43.299428000000006,-74.217933,New York
17,NY0025000,2015,aggravated-assault,NY,1,1,,43.299428000000006,-74.217933,New York
18,NY0027000,2015,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
19,NY0030000,2015,aggravated-assault,NY,20,33,,43.299428000000006,-74.217933,New York
20,NY0010000,2015,burglary,NY,7,34,,43.299428000000006,-74.217933,New York
21,NY0010100,2015,burglary,NY,112,470,,43.299428000000006,-74.217933,New York
22,NY0010200,2015,burglary,NY,9,47,,43.299428000000006,-74.217933,New York
23,NY0010300,2015,burglary,NY,3,37,,43.299428000000006,-74.217933,New York
24,NY0012000,2015,burglary,NY,0,10,,43.299428000000006,-74.217933,New York
25,NY0012100,2015,burglary,NY,0,1,,43.299428000000006,-74.217933,New York
26,NY0012500,2015,burglary,NY,3,17,,43.299428000000006,-74.217933,New York
27,NY0015100,2015,burglary,NY,11,58,,43.299428000000006,-74.217933,New York
28,NY0015200,2015,burglary,NY,6,21,,43.299428000000006,-74.217933,New York
29,NY0015300,2015,burglary,NY,38,201,,43.299428000000006,-74.217933,New York
30,NY0015800,2015,burglary,NY,11,17,,43.299428000000006,-74.217933,New York
31,NY0020000,2015,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
32,NY0022000,2015,burglary,NY,1,2,,43.299428000000006,-74.217933,New York
33,NY0022200,2015,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
34,NY0022300,2015,burglary,NY,1,2,,43.299428000000006,-74.217933,New York
35,NY0022600,2015,burglary,NY,0,7,,43.299428000000006,-74.217933,New York
36,NY0022800,2015,burglary,NY,3,9,,43.299428000000006,-74.217933,New York
37,NY0025000,2015,burglary,NY,2,2,,43.299428000000006,-74.217933,New York
38,NY0027000,2015,burglary,NY,1,3,,43.299428000000006,-74.217933,New York
39,NY0030000,2015,burglary,NY,13,111,,43.299428000000006,-74.217933,New York
40,NY0010000,2015,larceny,NY,20,72,,43.299428000000006,-74.217933,New York
41,NY0010100,2015,larceny,NY,387,2637,,43.299428000000006,-74.217933,New York
42,NY0010200,2015,larceny,NY,40,166,,43.299428000000006,-74.217933,New York
43,NY0010300,2015,larceny,NY,34,161,,43.299428000000006,-74.217933,New York
44,NY0012000,2015,larceny,NY,2,35,,43.299428000000006,-74.217933,New York
45,NY0012100,2015,larceny,NY,3,10,,43.299428000000006,-74.217933,New York
46,NY0012500,2015,larceny,NY,33,106,,43.299428000000006,-74.217933,New York
