Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander
Connecticut,0.68,0.099,0.155,0.043,<.01,N/A
Delaware,0.632,0.209,0.091,0.039,<.01,N/A
Florida,0.552,0.153,0.247,0.027,<.01,<.01
Georgia,0.54,0.307,0.093,0.038,<.01,N/A
Maine,0.937,0.011,0.015,0.011,0.01,N/A
Maryland,0.519,0.288,0.095,0.064,<.01,N/A
Massachusetts,0.731,0.067,0.111,0.063,<.01,N/A
New Hampshire,0.913,0.011,0.033,0.025,<.01,N/A
New Jersey,0.562,0.124,0.197,0.095,<.01,N/A
New York,0.559,0.142,0.189,0.085,<.01,<.01
North Carolina,0.638,0.212,0.091,0.027,0.011,N/A
Pennsylvania,0.776,0.102,0.067,0.033,<.01,N/A
Rhode Island,0.733,0.052,0.146,0.033,<.01,N/A
South Carolina,0.64,0.27,0.053,0.014,<.01,N/A
Vermont,0.936,0.012,0.015,0.013,N/A,N/A
Virginia,0.628,0.185,0.09,0.064,<.01,<.01
West Virginia,0.928,0.034,0.013,0.01,N/A,N/A
